positive_score,negative_score,neutral_score,open_price,close_price,high_price,low_price,volume,total_words,total_hashtag,class_label
27.45,9.8,62.75,210.16,206.54,210.56,208.26,20748000,759,80,1
28.26,10.87,60.87,209.31,205.68,210.95,207.7,25890900,745,109,1
14.71,8.82,76.47,207.36,204.36,209.1,206.67,24611200,345,43,-1
26.67,13.33,60,209.53,204.97,209.78,207.2,23492600,703,15,1
32.69,9.62,57.69,206.05,203.37,207.81,204.52,22525500,665,41,1
16.67,16.67,66.67,209.32,203.23,209.5,206.76,25587400,776,49,-1
18.37,20.41,61.22,208,205.16,209.25,207.07,25425400,796,25,1
29.55,6.82,63.64,207.03,204.1,208.74,205.48,33447400,567,34,1
31.03,12.07,56.9,200.58,203.51,208.38,200.35,62404000,652,45,1
27.12,20.34,52.54,199.13,197.73,201.76,197.31,67935700,817,14,1
22.22,16.67,61.11,191.9,186.35,192.2,189.07,21029500,718,53,-1
42.86,2.04,55.1,194.99,187.4,195.19,190.1,24024000,896,60,-1
37.5,12.5,50,194.61,190.57,195.96,193.61,19076000,642,37,-1
32.73,18.18,49.09,193.06,191.17,194.85,192.43,16709900,773,31,1
27.03,24.32,48.65,192.45,189.39,193.66,192.05,18697900,521,45,1
50.98,3.92,45.1,190.68,188.02,191.96,189.56,15989400,938,41,1
32.56,11.63,55.81,191.78,187.86,192.43,190.17,20676200,719,47,-1
33.33,6.67,60,189.69,188.29,192.55,189.69,20286800,391,95,1
41.46,12.2,46.34,191.78,186.84,191.8,189.93,16393400,724,120,-1
33.33,9.52,57.14,189.75,187.87,191.87,189.2,15534500,655,40,1
36.59,4.88,58.54,191.52,187.34,192.65,190.42,15043100,694,93,-1
59.46,5.41,35.14,191.08,187.75,191.84,190.9,12513900,714,36,1
46.51,4.65,48.84,189.53,187.45,191.41,189.31,18041100,561,52,1
36.36,4.55,59.09,188.5,184.36,189.78,187.61,18831500,967,110,-1
31.11,8.89,60,190.71,186.79,191.28,190.18,15939100,719,70,-1
40.43,14.89,44.68,189.5,187.01,190.68,189.3,19756600,807,115,1
39.53,13.95,46.51,185.42,184.45,188.43,185.2,17485200,549,27,1
44.68,4.26,51.06,185.26,181.93,186.41,184.28,16604200,761,122,1
48.89,11.11,40,187.79,180.48,187.95,183.54,13954800,650,76,-1
23.08,2.56,74.36,183.82,183.68,187.3,183.42,17731300,526,78,1
31.11,8.89,60,186.29,181.64,187.19,182.91,22737700,607,74,-1
43.48,4.35,52.17,184.1,182.03,186.21,183.8,17365200,686,98,1
42.86,14.29,42.86,185.23,180.71,187.28,184.03,25285300,906,96,-1
51.11,8.89,40,182.99,180.98,186.53,182.54,24569200,698,113,1
36,2,62,183.4,178.76,184.92,180.73,31663100,1003,125,-1
44.74,5.26,50,186.12,181.46,186.15,184.7,27200400,577,14,-1
38.78,4.08,57.14,187.25,181.99,188.35,184.94,25711900,621,28,-1
37.78,13.33,48.89,186.35,183.01,187.2,185.73,20628700,663,130,1
41.46,12.2,46.34,185.14,182.21,186.33,183.45,33578500,736,121,-1
